Song Name,Artist Name
Hawa Banke,Darshan Raval
Mehrama,Pritam
Ek Tarfa,Darshan Raval
Kabhii Tumhhe,Javed-Mohsin
"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi
Kahani Suno 2.0,Kaifi Khalil
Pyar Hua Tha,Aima Baig
Jo Tu Na Mila,Asim Azhar
Jo Tu Na Mila x Habibi (Mashup),Asim Azhar
Shayad,Pritam
Humdard,Arijit Singh
Saware,Pritam
Agar Tum Saath Ho,Alka Yagnik
Chan Kithan Guzari Ayee Raat Ve,Sanwal Esakhelvi
Chan Kithan Guzari Ayee Raat Ve,Sanwal Esakhelvi
Raaz-E-Ulfat (Original Score),Shani Arshad
Channa Mereya,Pritam
Bulleya,Pritam
Ae Dil Hai Mushkil Title Track,Pritam
Afterhours,Bir
"Kesariya (From ""Brahmastra"")",Pritam
,
"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik
Aaya Na Tu,Arjun Kanungo
Tu Aake Dekhle,King
Summer High,AP Dhillon
Udd Gaye,Ritviz
Love Mashup 2019,Akhil Sachdeva
Hawayein - Lofi Flip,VIBIE
No Love,Shubh
"Khamoshiyan (From ""Khamoshiyan"")",Jeet Gannguli
Heeriye (feat. Arijit Singh),Jasleen Royal
Mere Humsafar (Original Score) [Female Version],Yashal Shahid
"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev
"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",Arijit Singh
"Tum Jo Aaye (From ""Once Upon A Time In Mumbaai"")",Rahat Fateh Ali Khan
Hamari Adhuri Kahani (Title Track),Jeet Gannguli
Hasi - Male Version,Ami Mishra
"Sooraj Dooba Hain (From ""Roy"")",Arijit Singh
Chand Sifarish,Jatin-Lalit
Pehli Dafa,Atif Aslam
Sunn Raha Hai (Male Version),Ankit Tiwari
"Chaleya (From ""Jawan"")",Anirudh Ravichander
Main Rang Sharbaton Ka,Atif Aslam
Hawayein,Pritam
Saibo,Sachin-Jigar
"Itni Si Baat Hain (From ""Azhar"")",Arijit Singh
Abhi Mujh Mein Kahin,Ajay-Atul
Main Agar Kahoon,Sonu Nigam
Mein (Original Motion Picture Soundtrack),Asim Azhar
Manjha,Vishal Mishra
Chaleya,Anirudh Ravichander
"Humdard (From ""Ek Villain"")",Arijit Singh
"Bolna (From ""Kapoor & Sons (Since 1921)"")",Tanishk Bagchi
Maan Meri Jaan,King
Tu Jaane Na,Atif Aslam
"Tere Hawaale (From ""Laal Singh Chaddha"")",Pritam
Akhiyaan,Mitraz
Mahiye Jinna Sohna,Darshan Raval
"Galliyan (From ""Ek Villain"")",Ankit Tiwari
Lag Ja Gale,Sanam
Lag Ja Gale Se Phir,Lata Mangeshkar
Bol Kaffara Kya Hoga,Sehar Gul Khan
Cheques,Shubh
"Abrar’s Entry | Jamal Kudu (From ""ANIMAL"")",Harshavardhan Rameshwar
Proper Patola,Badshah
Maan Meri Jaan (Afterlife),King
Saajan Ve,Darshan Raval
Asal Mein,Darshan Raval
Mannat,Darshan Raval
Mahiye Jinna Sohna,Darshan Raval
Lehanga,Jass Manak
Prada,Jass Manak
"Rabb Wangu - From ""Sikander 2""",Jass Manak
No Competition,Jass Manak
Tera Mera Viah,Jass Manak
Boss,Jass Manak
Tu Alvida,Ali Tariq
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz
Tu Hi Das De,Simar Panag
Saajan Ve,Darshan Raval
Wish,Nikk
"Duniyaa (From ""Luka Chuppi"")",Akhil
Ve Haaniyaan,Danny
Hail,Tarna
East Side Flow,Sidhu Moose Wala
Tu Hai,Darshan Raval
Tu Hi Das De,Simar Panag
Jhol,Maanu
Jatt Vailly,Diljit Dosanjh
"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Mohammad Faiz
"Ik Vaari Aa (From ""Raabta"")",Pritam
"Mann Bharryaa 2.0 (From ""Shershaah"")",B Praak
Sajdaa,Shankar-Ehsaan-Loy
Qurbaan,Rohan Jain
Shor Sharaba,Alistair Alvin
Baarish,Shashaa Tirupati
Phir Bhi Tumko Chaahunga,Mithoon
